"protocol","port","description"
"TCP",287,"K-BLOCK"
"TCP",308,"Novastor Backup"
"TCP",309,"EntrustTime"
"TCP",310,"bhmds"
"TCP",311,"AppleShare IP WebAdmin"
"TCP",312,"VSLMP"
"TCP",313,"Magenta Logic"
"TCP",314,"Opalis Robot"
"TCP",315,"DPSI"
"TCP",316,"decAuth"
"TCP",317,"Zannet"
"TCP",318,"PKIX TimeStamp"
"TCP",319,"PTP Event"
"TCP",320,"PTP General"
"TCP",321,"PIP"
"TCP",322,"RTSPS"
"TCP",333,"Texar Security Port"
"TCP",344,"Prospero Data Access Protocol"
"TCP",345,"Perf Analysis Workbench"
"TCP",346,"Zebra server"
"TCP",347,"Fatmen Server"
"TCP",348,"Cabletron Management Protocol"
"TCP",349,"mftp"
"TCP",350,"MATIP Type A"
"TCP",351,"bhoetty (added 5/21/97)"
"TCP",352,"bhoedap4 (added 5/21/97)"
"TCP",353,"NDSAUTH"
"TCP",354,"bh611"
"TCP",355,"DATEX-ASN"
"TCP",356,"Cloanto Net 1"
"TCP",357,"bhevent"
"TCP",358,"Shrinkwrap"
"TCP",359,"Tenebris Network Trace Service"
"TCP",360,"scoi2odialog"
"TCP",361,"Semantix"
"TCP",362,"SRS Send"
"TCP",363,"RSVP Tunnel"
"TCP",364,"Aurora CMGR"
"TCP",365,"DTK"
"TCP",366,"ODMR"
"TCP",367,"MortgageWare"
"TCP",368,"QbikGDP"
"TCP",369,"rpc2portmap"
"TCP",370,"codaauth2"
"TCP",371,"Clearcase"
"TCP",372,"ListProcessor"
"TCP",373,"Legent Corporation"
"TCP",374,"Legent Corporation"
"TCP",375,"Hassle"
"TCP",376,"Amiga Envoy Network Inquiry Proto"
"TCP",377,"NEC Corporation"
"TCP",378,"NEC Corporation"
"TCP",379,"TIA/EIA/IS-99 modem client"
"TCP",380,"TIA/EIA/IS-99 modem server"
"TCP",381,"hp performance data collector"
"TCP",382,"hp performance data managed node"
"TCP",383,"hp performance data alarm manager"
"TCP",384,"A Remote Network Server System"
"TCP",385,"IBM Application"
"TCP",386,"ASA Message Router Object Def."
"TCP",387,"Appletalk Update-Based Routing Pro."
"TCP",388,"Unidata LDM"
"TCP",389,"Lightweight Directory Access Protocol / Internet Locator Service (ILS)"
"TCP",390,"UIS"
"TCP",391,"SynOptics SNMP Relay Port"
"TCP",392,"SynOptics Port Broker Port"
"TCP",393,"Data Interpretation System"
"TCP",394,"EMBL Nucleic Data Transfer"
"TCP",395,"NETscout Control Protocol"
"TCP",396,"Novell Netware over IP"
"TCP",397,"Multi Protocol Trans. Net."
"TCP",398,"Kryptolan"
"TCP",399,"ISO Transport Class 2 Non-Control over TCP"
"TCP",400,"Workstation Solutions"
"TCP",401,"Uninterruptible Power Supply"
"TCP",402,"Genie Protocol"
"TCP",403,"decap"
"TCP",404,"nced"
"TCP",405,"ncld"
"TCP",406,"Interactive Mail Support Protocol"
"TCP",407,"Timbuktu"
"TCP",408,"Prospero Resource Manager Sys. Man."
"TCP",409,"Prospero Resource Manager Node Man."
"TCP",410,"DECLadebug Remote Debug Protocol"
"TCP",411,"Remote MT Protocol"
"TCP",412,"NeoModus Direct Connect (Windows file sharing program) / Trap Convention Port"
"TCP",413,"SMSP"
"TCP",414,"InfoSeek"
"TCP",415,"BNet"
"TCP",416,"Silverplatter"
"TCP",417,"Onmux"
"TCP",418,"Hyper-G"
"TCP",419,"Ariel"
"TCP",420,"SMPTE"
"TCP",421,"Ariel"
"TCP",422,"Ariel"
"TCP",423,"IBM Operations Planning and Control Start"
"TCP",424,"IBM Operations Planning and Control Track"
"TCP",425,"ICAD"
"TCP",426,"smartsdp"
"TCP",427,"Server Location"
"TCP",428,"OCS_CMU"
"TCP",429,"OCS_AMU"
"TCP",430,"UTMPSD"
"TCP",431,"UTMPCD"
"TCP",432,"IASD"
"TCP",433,"NNSP"
"TCP",434,"MobileIP-Agent"
"TCP",435,"MobilIP-MN"
"TCP",436,"DNA-CML"
"TCP",437,"comscm"
"TCP",438,"dsfgw"
"TCP",439,"dasp"
"TCP",440,"sgcp"
"TCP",441,"decvms-sysmgt"
"TCP",442,"cvc_hostd"
"TCP",443,"HTTP protocol over TLS/SSL"
"TCP",444,"Simple Network Paging Protocol"
"TCP",445,"Microsoft-DS"
"TCP",446,"DDM-RDB"
"TCP",447,"DDM-RFM"
"TCP",448,"DDM-SSL"
"TCP",449,"AS Server Mapper"
"TCP",450,"TServer"
"TCP",451,"Cray Network Semaphore server"
"TCP",452,"Cray SFS config server"
"TCP",453,"CreativeServer"
"TCP",454,"ContentServer"
"TCP",455,"CreativePartnr"
"TCP",456,"macon-tcp"
"TCP",457,"scohelp"
"TCP",458,"apple quick time"
"TCP",459,"ampr-rcmd"
"TCP",460,"skronk"
"TCP",461,"DataRampSrv"
"TCP",462,"DataRampSrvSec"
"TCP",463,"alpes"
"TCP",464,"kpasswd"
"TCP",465,"SMTPS"
"TCP",466,"digital-vrc"
"TCP",467,"mylex-mapd"
"TCP",468,"proturis"
"TCP",469,"Radio Control Protocol"
"TCP",470,"scx-proxy"
"TCP",471,"Mondex"
"TCP",472,"ljk-login"
"TCP",473,"hybrid-pop"
"TCP",474,"tn-tl-w1"
"TCP",475,"tcpnethaspsrv"
"TCP",476,"tn-tl-fd1"
"TCP",477,"ss7ns"
"TCP",478,"spsc"
"TCP",479,"iafserver"
"TCP",480,"iafdbase"
"TCP",481,"Ph service"
"TCP",482,"bgs-nsi"
"TCP",483,"ulpnet"
"TCP",484,"Integra Software Management Environment"
"TCP",485,"Air Soft Power Burst"
"TCP",486,"avian"
"TCP",487,"saft Simple Asynchronous File Transfer"
"TCP",488,"gss-HTTP"
"TCP",489,"nest-protocol"
"TCP",490,"micom-pfs"
"TCP",491,"go-login"
"TCP",492,"Transport Independent Convergence for FNA"
"TCP",493,"Transport Independent Convergence for FNA"
"TCP",494,"POV-Ray"
"TCP",495,"intecourier"
"TCP",496,"PIM-RP-DISC"
"TCP",497,"dantz"
"TCP",498,"siam"
"TCP",499,"ISO ILL Protocol"
"TCP",500,"ISAKMP"
"TCP",501,"STMF"
"TCP",502,"asa-appl-proto"
"TCP",503,"Intrinsa"
"TCP",504,"citadel"
"TCP",505,"mailbox-lm"
"TCP",506,"ohimsrv"
"TCP",507,"crs"
"TCP",508,"xvttp"
"TCP",509,"snare"
"TCP",510,"FirstClass Protocol"
"TCP",511,"PassGo"
"TCP",512,"Remote process execution"
"TCP",513,"Remote Login"
"TCP",514,"Remote Shell"
"TCP",515,"spooler"
"TCP",516,"videotex"
"TCP",517,"like tenex link but across"
"TCP",518,"talkd"
"TCP",519,"unixtime"
"TCP",520,"extended file name server"
"TCP",521,"ripng"
"TCP",522,"User Location Service / ULP"
"TCP",523,"IBM-DB2"
"TCP",524,"NCP"
"TCP",525,"timeserver"
"TCP",526,"newdate"
"TCP",527,"Stock IXChange"
"TCP",528,"Customer IXChange"
"TCP",529,"IRC-SERV"
"TCP",530,"rpc"
"TCP",531,"chat"
"TCP",532,"readnews"
"TCP",533,"for emergency broadcasts"
"TCP",534,"MegaMedia Admin"
"TCP",535,"iiop"
"TCP",536,"opalis-rdv"
"TCP",537,"Networked Media Streaming Protocol"
"TCP",538,"gdomap"
"TCP",539,"Apertus Technologies Load Determination"
"TCP",540,"uucpd"
"TCP",541,"uucp-rlogin"
"TCP",542,"commerce"
"TCP",543,"kerberos (v4/v5)"
"TCP",544,"krcmd"
"TCP",545,"appleqtcsrvr"
"TCP",546,"DHCPv6 Client"
"TCP",547,"DHCPv6 Server"
"TCP",548,"AppleShare AFP over TCP"
"TCP",549,"IDFP"
"TCP",550,"new-who"
"TCP",551,"cybercash"
"TCP",552,"deviceshare"
"TCP",553,"pirp"
"TCP",554,"Real Time Stream Control Protocol"
"TCP",555,"phAse Zero backdoor (Win 9x, NT) / dsf"
"TCP",556,"rfs server"
"TCP",557,"openvms-sysipc"
"TCP",558,"SDNSKMP"
"TCP",559,"TEEDTAP / Backdoor.Domwis Win32 trojan"
"TCP",560,"rmonitord"
"TCP",561,"monitor"
"TCP",562,"chcmd"
"TCP",563,"AOL IM / NNTP protocol over TLS/SSL"
"TCP",564,"plan 9 file service"
"TCP",565,"whoami"
"TCP",566,"streettalk"
"TCP",567,"banyan-rpc"
"TCP",568,"microsoft shuttle"
"TCP",569,"microsoft rome"
"TCP",570,"demon"
"TCP",571,"udemon"
"TCP",572,"sonar"
"TCP",573,"banyan-vip"
"TCP",574,"FTP Software Agent System"
"TCP",575,"VEMMI"
"TCP",576,"ipcd"
"TCP",577,"vnas"
"TCP",578,"ipdd"
"TCP",579,"decbsrv"
"TCP",580,"SNTP HEARTBEAT"
"TCP",581,"Bundle Discovery Protocol"
"TCP",582,"SCC Security"
"TCP",583,"Philips Video-Conferencing"
"TCP",584,"Key Server"
"TCP",585,"IMAP4+SSL"
"TCP",586,"Password Change"
"TCP",587,"Message Submission (Sendmail)"
"TCP",588,"CAL"
"TCP",589,"EyeLink"
"TCP",590,"TNS CML"
"TCP",591,"FileMaker Inc. - HTTP Alternate"
"TCP",592,"Eudora Set"
"TCP",593,"HTTP RPC Ep Map"
"TCP",594,"TPIP"
"TCP",595,"CAB Protocol"
"TCP",596,"SMSD"
"TCP",597,"PTC Name Service"
"TCP",598,"SCO Web Server Manager 3"
"TCP",599,"Aeolon Core Protocol"
"TCP",600,"Sun IPC server"
"TCP",606,"Cray Unified Resource Manager"
"TCP",607,"nqs"
"TCP",608,"Sender-Initiated/Unsolicited File Transfer"
"TCP",609,"npmp-trap"
"TCP",610,"Apple Admin Service / npmp-local"
"TCP",611,"npmp-gui"
"TCP",612,"HMMP Indication"
"TCP",613,"HMMP Operation"
"TCP",614,"SSLshell"
"TCP",615,"Internet Configuration Manager"
"TCP",616,"SCO System Administration Server"
"TCP",617,"SCO Desktop Administration Server"
"TCP",618,"DEI-ICDA"
"TCP",619,"Digital EVM"
"TCP",620,"SCO WebServer Manager"
"TCP",621,"ESCP"
"TCP",622,"Collaborator"
"TCP",623,"Aux Bus Shunt"
"TCP",624,"Crypto Admin"
"TCP",625,"DEC DLM"
"TCP",626,"ASIA"
"TCP",627,"PassGo Tivoli"
"TCP",628,"QMQP"
"TCP",629,"3Com AMP3"
"TCP",630,"RDA"
"TCP",631,"IPP (Internet Printing Protocol)"
"TCP",632,"bmpp"
"TCP",633,"Service Status update (Sterling Software)"
"TCP",634,"ginad"
"TCP",635,"RLZ DBase"
"TCP",636,"LDAP protocol over TLS/SSL"
"TCP",637,"lanserver"
"TCP",638,"mcns-sec"
"TCP",639,"MSDP"
"TCP",640,"entrust-sps"
"TCP",641,"repcmd"
"TCP",642,"ESRO-EMSDP V1.3"
"TCP",643,"SANity"
"TCP",644,"dwr"
"TCP",645,"PSSC"
"TCP",646,"LDP"
"TCP",647,"DHCP Failover"
"TCP",648,"Registry Registrar Protocol (RRP)"
"TCP",649,"Aminet"
"TCP",650,"OBEX"
"TCP",651,"IEEE MMS"
"TCP",652,"UDLR_DTCP"
"TCP",653,"RepCmd"
"TCP",654,"AODV"
"TCP",655,"TINC"
"TCP",656,"SPMP"
"TCP",657,"RMC"
"TCP",658,"TenFold"
"TCP",659,"URL Rendezvous"
"TCP",660,"MacOS Server Admin"
"TCP",661,"HAP"
"TCP",662,"PFTP"
"TCP",663,"PureNoise"
"TCP",664,"Secure Aux Bus"
"TCP",665,"Sun DR"
"TCP",666,"doom Id Software"
"TCP",667,"campaign contribution disclosures - SDR Technologies"
"TCP",668,"MeComm"
"TCP",669,"MeRegister"
"TCP",670,"VACDSM-SWS"
"TCP",671,"VACDSM-APP"
"TCP",672,"VPPS-QUA"
"TCP",673,"CIMPLEX"
"TCP",674,"ACAP"
"TCP",675,"DCTP"
"TCP",676,"VPPS Via"
"TCP",677,"Virtual Presence Protocol"
"TCP",678,"GNU Gereration Foundation NCP"
"TCP",679,"MRM"
"TCP",680,"entrust-aaas"
"TCP",681,"entrust-aams"
"TCP",682,"XFR"
"TCP",683,"CORBA IIOP"
"TCP",684,"CORBA IIOP SSL"
"TCP",685,"MDC Port Mapper"
"TCP",686,"Hardware Control Protocol Wismar"
"TCP",687,"asipregistry"
"TCP",688,"REALM-RUSD"
"TCP",689,"NMAP"
"TCP",690,"VATP"
"TCP",691,"MS Exchange Routing"
"TCP",692,"Hyperwave-ISP"
"TCP",693,"connendp"
"TCP",694,"ha-cluster"
"TCP",695,"IEEE-MMS-SSL"
"TCP",696,"RUSHD"
"TCP",697,"UUIDGEN"
"TCP",698,"OLSR"
"TCP",704,"errlog copy/server daemon"
"TCP",705,"AgentX"
"TCP",706,"SILC"
"TCP",707,"W32.Nachi Worm / Borland DSJ"
"TCP",709,"Entrust Key Management Service Handler"
"TCP",710,"Entrust Administration Service Handler"
"TCP",711,"Cisco TDP"
"TCP",729,"IBM NetView DM/6000 Server/Client"
"TCP",730,"IBM NetView DM/6000 send/tcp"
"TCP",731,"IBM NetView DM/6000 receive/tcp"
"TCP",740,"(old) NETscout Control Protocol (old)"
"TCP",741,"netGW"
"TCP",742,"Network based Rev. Cont. Sys."
"TCP",744,"Flexible License Manager"
"TCP",747,"Fujitsu Device Control"
"TCP",748,"Russell Info Sci Calendar Manager"
"TCP",749,"kerberos administration"
"TCP",750,"rfile"
"TCP",751,"pump"
"TCP",752,"Kerberos password server"
"TCP",753,"Kerberos userreg server"
"TCP",754,"send"
"TCP",758,"nlogin"
"TCP",759,"con"
"TCP",760,"kreg, kerberos/4 registration"
"TCP",761,"kpwd, Kerberos/4 password"
"TCP",762,"quotad"
"TCP",763,"cycleserv"
"TCP",764,"omserv"
"TCP",765,"webster"
"TCP",767,"phone"
"TCP",769,"vid"
"TCP",770,"cadlock"
"TCP",771,"rtip"
"TCP",772,"cycleserv2"
"TCP",773,"submit"
"TCP",774,"rpasswd"
"TCP",775,"entomb"
"TCP",776,"wpages"
"TCP",777,"Multiling HTTP"
"TCP",780,"wpgs"
"TCP",781,"HP performance data collector"
"TCP",782,"node HP performance data managed node"
"TCP",783,"HP performance data alarm manager"
"TCP",786,"Concert"
"TCP",787,"QSC"
"TCP",799,"ControlIT / Remotely Possible"
"TCP",800,"mdbs_daemon / Remotely Possible"
"TCP",801,"device"
"TCP",808,"CCProxy"
"TCP",810,"FCP"
"TCP",828,"itm-mcell-s"
"TCP",829,"PKIX-3 CA/RA"
"TCP",871,"SUP server"
"TCP",873,"rsync"
"TCP",886,"ICL coNETion locate server"
"TCP",887,"ICL coNETion server info"
"TCP",888,"CD Database Protocol"
"TCP",900,"Check Point Firewall-1 HTTP administration / OMG Initial Refs"
"TCP",901,"Samba Web Administration Tool / Realsecure / SMPNAMERES/ NetDevil trojan"
"TCP",902,"VMware Authentication Daemon / IDEAFARM-CHAT"
"TCP",903,"IDEAFARM-CATCH / NetDevil trojan"
"TCP",911,"xact-backup"
"TCP",912,"VMware Authentication Daemon"
"TCP",989,"FTP protocol data over TLS/SSL"
"TCP",990,"FTP protocol control over TLS/SSL"
"TCP",991,"Netnews Administration System"
"TCP",992,"Telnet protocol over TLS/SSL"
"TCP",993,"IMAP4 protocol over TLS/SSL"
"TCP",994,"IRC protocol over TLS/SSL"
"TCP",995,"POP3 protocol over TLS/SSL"
"TCP",996,"vsinet"
"TCP",997,"maitrd"
"TCP",998,"busboy"
"TCP",999,"puprouter"
"TCP",1000,"cadlock"
"TCP",1002,"Microsoft Site Server Internet Locator Service (Netmeeting/ICF)"
"TCP",1008,"UFS-aware server"
"TCP",1010,"surf"
"TCP",1011,"Doly (Windows Trojan)"
"TCP",1015,"Doly (Windows Trojan)"
"TCP",1023,"Reserved"
"TCP",1024,"Reserved"
"TCP",1025,"MSTASK / network blackjack"
"TCP",1026,"MSTASK / Remote Login Network Terminal"
"TCP",1030,"BBN IAD"
"TCP",1031,"InetInfo / BBN IAD"
"TCP",1032,"BBN IAD"
"TCP",1042,"W32.Mydoom.L virus"
"TCP",1047,"Sun's NEO Object Request Broker"
"TCP",1048,"Sun's NEO Object Request Broker"
"TCP",1049,"Tobit David Postman VPMN"
"TCP",1050,"CORBA Management Agent"
"TCP",1051,"Optima VNET"
"TCP",1052,"Dynamic DNS Tools"
"TCP",1053,"Remote Assistant (RA)"
"TCP",1054,"BRVREAD"
"TCP",1055,"ANSYS - License Manager"
"TCP",1056,"VFO"
"TCP",1057,"STARTRON"
"TCP",1058,"nim"
"TCP",1059,"nimreg"
"TCP",1060,"POLESTAR"
"TCP",1061,"KIOSK"
"TCP",1062,"Veracity"
"TCP",1063,"KyoceraNetDev"
"TCP",1064,"JSTEL"
"TCP",1065,"SYSCOMLAN"
"TCP",1066,"FPO-FNS"
"TCP",1067,"Installation Bootstrap Proto. Serv."
"TCP",1068,"Installation Bootstrap Proto. Cli."
"TCP",1069,"COGNEX-INSIGHT"
"TCP",1070,"GMRUpdateSERV"
"TCP",1071,"BSQUARE-VOIP"
"TCP",1072,"CARDAX"
"TCP",1073,"BridgeControl"
"TCP",1074,"FASTechnologies License Manager"
"TCP",1075,"RDRMSHC"
"TCP",1076,"DAB STI-C"
"TCP",1077,"IMGames"
"TCP",1078,"eManageCstp"
"TCP",1079,"ASPROVATalk"
"TCP",1080,"Socks / W32.Beagle.AB trojan"
"TCP",1081,"PVUNIWIEN"
"TCP",1082,"AMT-ESD-PROT"
"TCP",1083,"Anasoft License Manager"
"TCP",1084,"Anasoft License Manager"
"TCP",1085,"Web Objects"
"TCP",1086,"CPL Scrambler Logging"
"TCP",1087,"CPL Scrambler Internal"
"TCP",1088,"CPL Scrambler Alarm Log"
"TCP",1089,"FF Annunciation"
"TCP",1090,"FF Fieldbus Message Specification"
"TCP",1091,"FF System Management"
"TCP",1092,"OBRPD"
"TCP",1093,"PROOFD"
"TCP",1094,"ROOTD"
"TCP",1095,"NICELink"
"TCP",1096,"Common Name Resolution Protocol"
"TCP",1097,"Sun Cluster Manager"
"TCP",1098,"RMI Activation"
"TCP",1099,"RMI Registry"
"TCP",1100,"MCTP"
"TCP",1101,"PT2-DISCOVER"
"TCP",1102,"ADOBE SERVER 1"
"TCP",1103,"ADOBE SERVER 2"
"TCP",1104,"XRL"
"TCP",1105,"FTRANHC"
"TCP",1106,"ISOIPSIGPORT-1"
"TCP",1107,"ISOIPSIGPORT-2"
"TCP",1108,"ratio-adp"
"TCP",1109,"Pop with Kerberos"
"TCP",1110,"Cluster status info"
"TCP",1111,"LM Social Server"
"TCP",1112,"Intelligent Communication Protocol"
